,Names,Total_shipped,Total_sales
0,New Super Mario Bros.,30.80m,
1,Nintendogs,23.96m,
2,Mario Kart DS,23.60m,
3,Brain Age: Train Your Brain in Minutes a Day,19.01m,
4,Pokémon Diamond / Pearl Version,17.67m,
5,Pokémon Black / White Version Read the review,15.64m,
6,Brain Age 2: More Training in Minutes a Day,14.88m,
7,Pokémon Heart Gold / Soul Silver Version Read the review,12.72m,
8,Animal Crossing: Wild World,11.75m,
9,Super Mario 64 DS,11.06m,
10,Super Mario 64 DS,11.06m,
11,Mario Party DS,9.31m,
12,Pokémon Black 2 and White 2 Read the review,8.52m,
13,Pokémon Platinum Version,7.60m,
14,Big Brain Academy,6.15m,
15,Cooking Mama,,5.66m
16,Dragon Quest IX: Sentinels of the Starry Skies Read the review,5.50m,
17,Mario & Sonic at the Olympic Games,,5.10m
18,Pokémon Mystery Dungeon: Explorers of Time / Darkness,4.88m,
19,LEGO Star Wars: The Complete Saga,,4.77m
20,The Legend of Zelda: Phantom Hourglass Read the review,4.76m,
21,Mario & Luigi: Bowser's Inside Story Read the review,4.56m,
22,Professor Layton and the Curious Village,4.49m,
23,English Training: Have Fun Improving Your Skills!,3.91m,
24,Professor Layton and the Diabolical Box Read the review,3.88m,
25,Tomodachi Collection,3.76m,
26,MySims,,3.66m
27,Cooking Mama 2: Dinner With Friends,,3.58m
28,Pokémon Mystery Dungeon: Blue Rescue Team,3.49m,
29,Mario & Sonic at the Olympic Winter Games,,3.47m
30,Guitar Hero: On Tour,,3.46m
31,Yoshi's Island DS,3.36m,
32,Flash Focus: Vision Training in Minutes a Day,3.23m,
33,Personal Trainer: Cooking,3.18m,
34,Club Penguin: Elite Penguin Force,,3.14m
35,LEGO Batman: The Videogame,,3.06m
36,Rhythm Heaven Read the review,3.04m,
37,Professor Layton and the Unwound Future Read the review,3.02m,
38,Sonic Rush,3.00m,
39,Kirby Super Star Ultra Read the review,2.99m,
40,Mario vs. Donkey Kong: Mini-Land Mayhem!,2.98m,
41,Style Savvy,2.98m,
42,The Legend of Zelda: Spirit Tracks Read the review,2.96m,
43,Pokémon Ranger,2.93m,
44,Imagine: Babyz,,2.87m
45,Imagine: Fashion Designer,,2.81m
46,Tetris DS,2.74m,
47,Hannah Montana,,2.65m
48,Clubhouse Games,2.57m,
49,WarioWare Touched!,2.47m,
0,Pokémon Ranger: Shadows of Almia,2.35m,
1,Art Academy,2.33m,
2,Final Fantasy III,2.30m,
3,LEGO Harry Potter: Years 1-4,,2.29m
4,Kirby Squeak Squad,2.27m,
5,LEGO Indiana Jones: The Original Adventures,,2.20m
6,High School Musical: Makin' the Cut!,,2.20m
7,Inazuma Eleven 3: Lightning Bolt / Bomb Blast / Team Ogre Attacks!,2.15m,
8,The Sims 2: Pets,,2.07m
9,Professor Layton and the Last Specter Read the review,2.06m,
10,Toy Story 3: The Video Game,,2.06m
11,Carnival Games,,2.04m
12,Mario Hoops 3 on 3,2.03m,
13,Dragon Quest Monsters: Joker 2,2.00m,
14,TouchMaster,,2.00m
15,Inazuma Eleven 2: Blizzard / Firestorm,1.96m,
16,Dragon Quest Monsters: Joker,1.90m,
17,Sonic Classic Collection,,1.86m
18,Phineas and Ferb,,1.85m
19,Namco Museum DS,1.80m,
20,Mario & Luigi: Partners in Time,1.73m,
21,Deal or No Deal,,1.72m
22,Imagine: Teacher,,1.71m
23,Dragon Quest V: Hand of the Heavenly Bride Read the review,1.70m,
24,Dragon Quest VI: Realms of Revelation,1.70m,
25,Kingdom Hearts 358/2 Days Read the review,1.70m,
26,Super Princess Peach,1.70m,
27,Ben 10: Protector of Earth,,1.70m
28,Cooking Mama 3: Shop & Chop,,1.69m
29,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,1.68m,
30,SpongeBob's Atlantis SquarePantis,,1.61m
31,Dragon Quest IV: Chapters of the Chosen Read the review,1.60m,
32,Diddy Kong Racing DS,1.59m,
33,Guitar Hero: On Tour Decades,,1.57m
34,Moshi Monsters: Moshling Zoo,,1.57m
35,High School Musical 3: Senior Year,,1.57m
36,Hannah Montana: Music Jam,,1.56m
37,MySims Kingdom,,1.56m
38,Practise English!,1.55m,
39,Pokémon Ranger: Guardian Signs,1.53m,
40,Disney Fairies: Tinker Bell,,1.52m
41,Mario vs. Donkey Kong 2: March of the Minis,1.52m,
42,The Simpsons Game,,1.51m
43,Sonic Colors Read the review,1.50m,
44,Pokémon Mystery Dungeon: Explorers of Sky,1.49m,
45,Bratz: Forever Diamondz,,1.48m
46,Drawn To Life: SpongeBob SquarePants Edition,,1.48m
47,LEGO Battles: Ninjago,,1.48m
48,Tamagotchi Connection: Corner Shop,1.48m,
49,Imagine: Master Chef,,1.47m
0,Super Scribblenauts Read the review,,1.47m
1,Wall-E,,1.46m
2,My Word Coach,,1.44m
3,Disney Princess: Magical Jewels,,1.44m
4,Hello Kitty Party,,1.41m
5,Bakugan: Battle Brawlers,,1.38m
6,Personal Trainer: Math,1.37m,
7,Gardening Mama Read the review,,1.36m
8,Grand Theft Auto: Chinatown Wars Read the review,,1.33m
9,Petz Wild Animals: Dolphinz,,1.32m
10,LEGO Battles,,1.29m
11,Imagine: Wedding Designer,,1.28m
12,Kung Fu Panda,,1.26m
13,Ratatouille,,1.25m
14,Cars 2,,1.25m
15,Transformers: Autobots / Decepticons,,1.24m
16,Kirby: Mass Attack Read the review,1.22m,
17,Final Fantasy IV Read the review,1.20m,
18,Sonic Rush Adventure,1.20m,
19,LEGO Indiana Jones 2: The Adventure Continues,,1.19m
20,Mystery Case Files: MillionHeir,1.18m,
21,Inazuma Eleven 2: Kyoui no Shinryokusha - Fire / Blizzard,,1.18m
22,High School Musical 2: Work This Out!,,1.15m
23,Oshare Majo Love and Berry: DS Collection,1.12m,
24,Plants vs. Zombies Read the review,,1.11m
25,LEGO Star Wars III: The Clone Wars,,1.10m
26,Chrono Trigger Read the review,1.10m,
27,Super Monkey Ball: Touch & Roll,1.10m,
28,Petz Dogz 2,,1.10m
29,Tamagotchi Connection: Corner Shop 2,1.09m,
30,Imagine: Babysitters,,1.09m
31,Metroid Prime Hunters,1.08m,
32,LEGO Star Wars II: The Original Trilogy,,1.07m
33,Imagine: Fashion Designer New York,,1.07m
34,MySims Agents,,1.07m
35,Spore Creatures,,1.07m
36,Call of Duty 4: Modern Warfare,,1.05m
37,Dora the Explorer: Dora Saves the Mermaids,,1.05m
38,Imagine: Animal Doctor,,1.05m
39,Sonic & SEGA All-Stars Racing,,1.05m
40,Final Fantasy XII: Revenant Wings Read the review,1.04m,
41,ZhuZhu Pets,,1.04m
42,Disney Fairies: Tinker Bell and the Lost Treasure,,1.03m
43,Junior Brain Trainer,,1.03m
44,Pokémon Conquest Read the review,,1.02m
45,Petz: Catz 2,,1.02m
46,Sekai no Gohan Shaberu! DS Oryouri Navi,1.01m,
47,Scribblenauts Read the review,1.00m,
48,Apollo Justice: Ace Attorney Read the review,,0.99m
49,Puzzler Collection,,0.99m
0,Littlest Pet Shop: Winter,,0.98m
1,Zoo Tycoon DS,,0.98m
2,Disney Tangled Read the review,,0.98m
3,Cars,,0.97m
4,My Weight Loss Coach,,0.96m
5,Mega Man Star Force Dragon / Leo / Pegasus,,0.95m
6,Ben 10: Alien Force,,0.95m
7,The Sims 2,,0.94m
8,Kingdom Hearts Re:coded Read the review,,0.93m
9,Monster High: Ghoul Spirit,,0.93m
10,Build-A-Bear Workshop,,0.93m
11,Phoenix Wright: Ace Attorney Read the review,,0.93m
12,LEGO Pirates of the Caribbean: The Video Game,,0.91m
13,TouchMaster 2,,0.89m
14,Call of Duty: World at War,,0.89m
15,Fossil Fighters,,0.89m
16,Star Wars: The Force Unleashed,,0.88m
17,Sonic Chronicles: The Dark Brotherhood,,0.88m
18,Peppa Pig: The Game,,0.87m
19,Wizards of Waverly Place,,0.87m
20,FIFA Soccer 08,,0.85m
21,The Legendary Starfy Read the review,,0.85m
22,Petz Dogz Fashion,,0.84m
23,Harry Potter and the Order of the Phoenix,,0.84m
24,Scooby-Doo! First Frights,,0.83m
25,I Spy: Fun House,,0.82m
26,Imagine: Rock Star,,0.81m
27,Disney's The Little Mermaid: Ariel's Undersea Adventure,,0.81m
28,Battle of Giants: Dinosaurs,,0.81m
29,Golden Sun: Dark Dawn,,0.81m
30,Rayman Raving Rabbids 2,,0.80m
31,Personal Trainer: Walking,,0.78m
32,Star Wars The Clone Wars: Jedi Alliance,,0.78m
33,Drawn to Life,,0.78m
34,Puzzler World,,0.77m
35,Tetris Party Deluxe,,0.77m
36,Pokémon Dash,,0.77m
37,My Baby Girl,,0.76m
38,Spectrobes,,0.75m
39,Jump Ultimate Stars,,0.74m
40,Sega Superstars Tennis,,0.74m
41,Madagascar: Escape 2 Africa,,0.74m
42,iCarly,,0.73m
43,My Little Pony: Pinkie Pie's Party,,0.73m
44,Harvest Moon DS: Island of Happiness,,0.72m
45,Imagine: Interior Designer,,0.72m
46,Rabbids Go Home,,0.72m
47,Kirby: Canvas Curse,,0.72m
48,The Sims 2: Castaway,,0.72m
49,LEGO Batman 2: DC Super Heroes,,0.71m
0,Ace Attorney Investigations: Miles Edgeworth Read the review,,0.70m
