,Names,Total_shipped,Total_sales
0,Pokémon Ruby / Sapphire Version,16.22m,
1,Pokémon FireRed / LeafGreen Version,12.00m,
2,Pokémon Emerald Version,7.06m,
3,Mario Kart: Super Circuit,5.91m,
4,Super Mario World: Super Mario Advance 2,5.69m,
5,Super Mario Advance,5.57m,
6,Super Mario Advance 4: Super Mario Bros. 3,5.43m,
7,Namco Museum,,4.24m
8,Pac-Man Collection,,2.94m
9,Yoshi's Island: Super Mario Advance 3,2.83m,
10,Finding Nemo,,2.82m
11,The Legend of Zelda: A Link to the Past,2.82m,
12,Frogger's Adventures: Temple of the Frog,,2.39m
13,Pokémon Mystery Dungeon: Red Rescue Team,2.36m,
14,Classic NES Series: Super Mario Bros.,2.27m,
15,Sonic Advance,,2.24m
16,Spyro: Season of Ice,,2.23m
17,Wario Land 4,2.20m,
18,Mario & Luigi: Superstar Saga,2.15m,
19,Kirby: Nightmare in Dream Land,2.10m,
20,Yu-Gi-Oh! The Eternal Duelist Soul,,2.07m
21,The Incredibles,,2.06m
22,Harry Potter and the Chamber of Secrets,,1.99m
23,2 Games in 1: Sonic Advance & ChuChu Rocket!,,1.83m
24,Donkey Kong Country,1.82m,
25,Sonic Advance 2,,1.80m
26,The Legend of Zelda: The Minish Cap,1.76m,
27,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,,1.76m
28,2 Games in 1: Disney Princess & The Lion King,,1.75m
29,Crash Bandicoot: The Huge Adventure,,1.73m
30,Tetris Worlds,,1.71m
31,Final Fantasy Tactics Advance,1.70m,
32,Harry Potter and the Sorcerer's Stone,,1.69m
33,Dragon Ball Z: The Legacy of Goku,,1.69m
34,"Monsters, Inc.",,1.67m
35,Golden Sun,1.65m,
36,Kingdom Hearts: Chain of Memories,1.60m,
37,Metroid Fusion,1.60m,
38,Spyro 2: Season of Flame,,1.58m
39,Disney Princess,,1.47m
40,Kirby & the Amazing Mirror,1.47m,
