,Names,Total_shipped,Total_sales
0,Super Mario 64,11.91m,
1,Mario Kart 64,9.87m,
2,GoldenEye 007,8.09m,
3,The Legend of Zelda: Ocarina of Time,7.60m,
4,Super Smash Bros.,5.55m,
5,Pokémon Stadium,5.46m,
6,Donkey Kong 64,5.27m,
7,Diddy Kong Racing,4.88m,
8,Star Fox 64,4.00m,
9,Banjo-Kazooie,3.65m,
10,Pokémon Snap,3.63m,
11,The Legend of Zelda: Majora's Mask,3.36m,
12,Perfect Dark,3.20m,
13,Star Wars Episode I Racer,3.12m,
14,Wave Race 64,2.94m,
15,Yoshi's Story,2.85m,
16,Mario Party,2.70m,
17,Star Wars: Shadows of the Empire,2.65m,
18,Pokémon Stadium 2,2.54m,
19,Mario Party 2,2.48m,
20,WCW/nWo Revenge,,2.38m
21,Mario Tennis,2.32m,
22,Star Wars: Rogue Squadron,2.17m,
23,Tony Hawk's Pro Skater,,2.11m
24,1080°: TenEighty Snowboarding,2.03m,
25,Mario Party 3,1.91m,
26,"Hey You, Pikachu!",1.83m,
27,Kirby 64: The Crystal Shards,1.77m,
28,Cruis'n USA,1.72m,
29,WCW vs. nWo: World Tour,,1.69m
30,F-1 World Grand Prix,1.60m,
31,007: The World is Not Enough,,1.55m
32,Turok 2: Seeds of Evil,1.50m,
33,Turok: Dinosaur Hunter,1.50m,
34,WWF No Mercy,,1.50m
35,Banjo-Tooie,1.49m,
36,Mario Golf,1.47m,
37,Namco Museum 64,,1.45m
38,Paper Mario,1.37m,
39,Pocket Monsters Stadium,1.37m,
40,WWF War Zone,,1.33m
41,Kobe Bryant in NBA Courtside,1.19m,
42,Mission: Impossible,,1.17m
43,Jet Force Gemini,1.16m,
44,South Park,,1.14m
45,Pilotwings 64,1.12m,
46,F-Zero X,1.10m,
47,NFL Blitz,,1.06m
48,NFL Quarterback Club 98,,1.06m
49,Bomberman 64,,1.04m
0,Excitebike 64,,1.00m
1,South Park Rally,1.00m,
2,WWF WrestleMania 2000,1.00m,
3,NASCAR 99,,0.98m
4,Mortal Kombat Trilogy,,0.96m
5,Toy Story 2: Buzz Lightyear to the Rescue!,,0.93m
6,Knockout Kings 2000,,0.92m
7,Glover,,0.91m
8,Madden NFL 99,,0.90m
9,Madden Football 64,,0.86m
10,Killer Instinct Gold,,0.82m
11,Army Men: Sarge's Heroes,,0.81m
12,WCW Mayhem,,0.79m
13,Major League Baseball Featuring Ken Griffey Jr,,0.79m
14,Conker's Bad Fur Day,,0.77m
15,Tony Hawk's Pro Skater 2,,0.76m
16,San Francisco Rush: Extreme Racing,,0.75m
17,Mortal Kombat 4,,0.73m
18,Blast Corps,,0.71m
19,LEGO Racers,,0.71m
20,WWF Attitude,,0.71m
21,Castlevania,,0.64m
22,Rayman 2: The Great Escape,,0.64m
23,Tom Clancy's Rainbow Six,,0.64m
24,Cruis'n World,,0.64m
25,Madden NFL 2001,,0.64m
26,A Bug's Life,,0.63m
27,Beetle Adventure Racing!,,0.62m
28,NFL Quarterback Club 99,,0.62m
29,Madden NFL 2000,,0.61m
30,International Superstar Soccer '98,,0.60m
31,International Superstar Soccer 64,,0.60m
32,Mickey's Speedway USA,,0.60m
33,Waialae Country Club: True Golf Classics,,0.59m
34,Extreme-G,,0.59m
35,Ready 2 Rumble Boxing,,0.59m
36,FIFA: Road to World Cup 98,,0.58m
37,International Superstar Soccer '98,,0.58m
38,World Cup 98,,0.58m
39,NFL Blitz 2000,,0.58m
40,NBA Hangtime,,0.57m
41,Resident Evil 2,,0.56m
42,FIFA 99,,0.54m
43,Gauntlet Legends,,0.54m
44,Spider-Man,,0.53m
45,NASCAR 2000,,0.53m
46,Wayne Gretzky's 3D Hockey,,0.53m
47,International Superstar Soccer 2000 (All region sales),,0.51m
48,Rugrats: Scavenger Hunt,,0.51m
49,Rugrats in Paris: The Movie,,0.50m
0,FIFA Soccer 64,,0.49m
1,All-Star Baseball 99,,0.48m
2,Harvest Moon 64,,0.48m
3,NBA Live 99,,0.47m
4,Automobili Lamborghini,,0.47m
5,Bomberman Hero,,0.47m
6,Doom 64,,0.47m
7,Quest 64,,0.47m
8,Pokémon Puzzle League,,0.45m
9,Rampage World Tour,,0.45m
10,NBA Live 2000,,0.44m
11,Duke Nukem 64,,0.44m
12,Madden NFL 2002,,0.43m
13,Mischief Makers,,0.43m
14,WipEout 64,,0.43m
15,Army Men: Sarge's Heroes 2,,0.42m
16,Dr. Mario 64,,0.42m
17,Jikkyou Powerful Pro Yakyuu 6,,0.42m
18,NFL Blitz 2001,,0.42m
19,Rush 2: Extreme Racing USA,,0.42m
20,Ogre Battle 64: Person of Lordly Caliber,,0.41m
21,Superman: The New Superman Adventures,,0.41m
22,Mortal Kombat Mythologies: Sub-Zero,,0.40m
23,NFL Quarterback Club 2000,,0.40m
24,RR64: Ridge Racer 64,,0.40m
25,Top Gear Rally,,0.40m
26,NHL 99,,0.39m
27,All-Star Baseball 2000,,0.39m
28,BattleTanx: Global Assault,,0.39m
29,Custom Robo V2,,0.39m
30,Extreme-G: XG2,,0.39m
31,Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,,0.37m
32,Scooby-Doo! Classic Creep Capers,,0.37m
33,Turok: Rage Wars,,0.37m
34,Bottom of the 9th,,0.37m
35,Mystical Ninja starring Goemon,,0.36m
36,Saban's Power Rangers: Lightspeed Rescue,,0.36m
37,Tetrisphere,,0.36m
38,Jikkyou Powerful Pro Yakyuu 2000,,0.35m
39,Off Road Challenge,,0.34m
40,BattleTanx,,0.33m
41,Custom Robo,,0.33m
42,NHL Breakaway 98,,0.32m
43,Nagano Winter Olympics 98,,0.32m
44,Animal Crossing,,0.31m
45,Bass Hunter 64,,0.31m
