,Names,Total_shipped,Total_sales
0,Mario Kart 7 Read the review,18.98m,
1,Pokémon X/Y Read the review,16.68m,
2,Pokémon Sun/Moon,16.30m,
3,Pokémon Omega Ruby/Pokémon Alpha Sapphire,14.57m,
4,New Super Mario Bros. 2 Read the review,13.41m,
5,Animal Crossing: New Leaf Read the review,13.04m,
6,Super Mario 3D Land Read the review,12.87m,
7,Super Smash Bros. for 3DS Read the review,9.64m,
8,Pokémon: Ultra Sun and Ultra Moon,9.15m,
9,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,7.30m,
10,Tomodachi Life,6.72m,
11,Luigi's Mansion: Dark Moon Read the review,6.47m,
12,The Legend of Zelda: Ocarina of Time 3D Read the review,6.40m,
13,The Legend of Zelda: Ocarina of Time 3D,5.62m,
14,Nintendogs + cats Read the review,4.68m,
15,Monster Hunter Generations,4.30m,
16,The Legend of Zelda: A Link Between Worlds Read the review,4.24m,
17,Monster Hunter 4 Ultimate,4.20m,
18,Monster Hunter 4,4.10m,
19,Super Mario Maker,3.79m,
20,Animal Crossing: Happy Home Designer,3.51m,
21,The Legend of Zelda: Majora's Mask 3D Read the review,3.43m,
22,Fire Emblem Fates,3.05m,
23,Yokai Watch,2.97m,
24,Mario Party: Island Tour Read the review,2.95m,
25,Donkey Kong Country Returns 3D Read the review,2.93m,
26,Mario & Luigi: Dream Team Read the review,2.68m,
27,Kirby: Triple Deluxe,2.65m,
28,Monster Hunter 3G,2.60m,
29,Paper Mario: Sticker Star Read the review,2.48m,
30,Yokai Watch Blasters: Red Cat Corps / White Dog Squad,2.37m,
31,Fire Emblem: Awakening Read the review,2.35m,
32,Yokai Watch 3: Sushi / Tempura / Sukiyaki,2.21m,
33,Yoshi's New Island Read the review,2.05m,
34,LEGO City Undercover: The Chase Begins,2.04m,
35,Dragon Quest XI,,1.82m
36,Monster Hunter Double Cross,1.80m,
37,Tomodachi Collection: New Life,,1.69m
38,Pokémon Super Mystery Dungeon,1.66m,
39,Kirby: Planet Robobot,1.61m,
40,Dragon Quest VII: Fragments of the Forgotten Past,1.60m,
41,Mario Tennis Open Read the review,1.58m,
42,Puzzle & Dragons,1.50m,
43,Professor Layton and the Mask of Miracle Read the review,1.48m,
44,Style Savvy: Trendsetters,1.44m,
45,Style Savvy: Fashion Forward,1.41m,
46,Bravely Default: Flying Fairy Read the review,1.40m,
47,Pokémon Rumble Blast Read the review,1.40m,
48,Pokémon Mystery Dungeon: Gates to Infinity,1.38m,
49,Kid Icarus: Uprising Read the review,1.36m,
0,The Legend of Zelda: Tri Force Heroes,1.36m,
1,Kingdom Hearts 3D: Dream Drop Distance Read the review,1.30m,
2,Super Street Fighter IV: 3D Edition Read the review,1.30m,
3,Miitopia,1.22m,
4,Mario & Sonic at the London 2012 Olympic Games Read the review,,1.19m
5,Dragon Quest VIII: Journey of the Cursed King,,1.15m
6,LEGO Star Wars III: The Clone Wars,,1.14m
7,Fantasy Life,1.11m,
8,Mario & Luigi: Paper Jam,1.08m,
9,Sonic Generations,,1.06m
10,Star Fox 64 3D Read the review,1.06m,
11,Lego Marvel Super Heroes: Universe in Peril,,1.05m
12,Rhythm Heaven Megamix,1.02m,
13,Monster Strike 3DS,1.00m,
14,PilotWings Resort Read the review,,0.96m
15,Harvest Moon 3D: A New Beginning,,0.95m
16,Dragon Quest Monsters: Terry's Wonderland 3D,0.90m,
17,Resident Evil: Revelations Read the review,,0.89m
18,Mario Party: Star Rush,,0.87m
19,LEGO Batman 2: DC Super Heroes,,0.86m
20,LEGO Jurassic World,,0.85m
21,Professor Layton vs Ace Attorney,,0.82m
22,Yokai Watch 3: Sukiyaki,,0.81m
23,Professor Layton and the Azran Legacy,,0.81m
24,Dragon Quest Monsters 2,,0.79m
25,The Sims 3,,0.77m
26,Fire Emblem Echoes: Shadows of Valentia,,0.75m
27,The LEGO Movie Videogame,,0.72m
28,Mario & Sonic at the Rio 2016 Olympic Games,,0.70m
29,Bravely Second: End Layer,0.70m,
30,Monster Hunter Stories,,0.70m
31,Mario Party: The Top 100,,0.69m
32,Rune Factory 4,,0.68m
33,Frozen: Olaf's Quest,,0.68m
34,Angry Birds Trilogy,,0.65m
35,Dragon Quest Monsters Joker 3,,0.65m
36,Rayman 3D Read the review,,0.64m
37,Scribblenauts: Unlimited,,0.64m
