,Names,Total_shipped,Total_sales
0,Wii Sports,82.90m,
1,Mario Kart Wii Read the review,37.38m,
2,Wii Sports Resort Read the review,33.14m,
3,New Super Mario Bros. Wii Read the review,30.32m,
4,Wii Play Read the review,28.02m,
5,Wii Fit Read the review,22.67m,
6,Wii Fit Plus,21.13m,
7,Super Smash Bros. Brawl Read the review,13.32m,
8,Super Mario Galaxy Read the review,12.80m,
9,Just Dance 2 Read the review,10.00m,
10,Just Dance 3,10.00m,
11,Wii Party,9.35m,
12,Mario Party 8,8.85m,
13,Super Mario Galaxy 2 Read the review,7.41m,
14,The Legend of Zelda: Twilight Princess Read the review,7.26m,
15,Just Dance 4,,6.89m
16,Donkey Kong Country Returns Read the review,6.53m,
17,Just Dance,6.00m,
18,Link's Crossbow Training Read the review,5.79m,
19,LEGO Star Wars: The Complete Saga,,5.66m
20,Guitar Hero III: Legends of Rock,,4.60m
21,Mario & Sonic at the Olympic Winter Games,,4.54m
22,Michael Jackson: The Experience,,4.37m
23,Animal Crossing: City Folk Read the review,4.32m,
24,Super Paper Mario,4.23m,
25,Carnival Games,,4.06m
26,Just Dance 2014,,3.89m
27,The Legend of Zelda: Skyward Sword Read the review,3.67m,
28,Guitar Hero: World Tour,,3.62m
29,Big Brain Academy: Wii Degree,3.34m,
30,Mario Party 9 Read the review,3.11m,
31,LEGO Batman: The Videogame Read the review,,3.08m
32,Sonic and the Secret Rings,3.00m,
33,Cooking Mama: Cook Off,,2.89m
34,Wii Music,2.86m,
35,Zumba Fitness 2,,2.83m
36,Skylanders: Spyro's Adventure,,2.79m
37,Mario Strikers Charged,2.60m,
38,Skylanders Giants,,2.58m
39,Game Party,,2.49m
40,LEGO Harry Potter: Years 1-4,,2.45m
41,uDraw Studio,,2.44m
42,Mario & Sonic at the London 2012 Olympic Games Read the review,2.39m,
43,WarioWare: Smooth Moves Read the review,2.35m,
44,LEGO Indiana Jones: The Original Adventures,,2.35m
45,My Fitness Coach,,2.32m
46,Mario Super Sluggers,2.32m,
47,Just Dance Kids,,2.25m
48,Call of Duty 3,,2.24m
49,Super Mario All-Stars: Limited Edition Read the review,2.24m,
0,Skylanders SWAP Force,,2.19m
1,Your Shape featuring Jenny McCarthy,,2.16m
2,Mario & Sonic at the Olympic Games,2.14m,
3,Just Dance 2015,,2.09m
4,Rock Band,,2.08m
5,Wipeout: The Game,,2.08m
6,Dance Dance Revolution: Hottest Party,,2.07m
7,Rayman Raving Rabbids: TV Party Read the review,,2.03m
8,Deca Sports,2.00m,
9,Disney Epic Mickey Read the review,2.00m,
10,Resident Evil 4 Read the review,2.00m,
11,Resident Evil 4,2.00m,
12,Mario Sports Mix Read the review,1.98m,
13,Pokémon Battle Revolution,1.95m,
14,Call of Duty: World at War Read the review,,1.94m
15,Monster Hunter Tri Read the review,1.90m,
16,Monopoly,,1.89m
17,Toy Story Mania!,,1.89m
18,Game Party 2,,1.88m
19,Star Wars: The Force Unleashed Read the review,,1.86m
20,Kirby's Epic Yarn Read the review,1.85m,
21,Rayman Raving Rabbids 2,,1.84m
22,EA Sports Active,1.80m,
23,Sonic Colors Read the review,1.80m,
24,Kirby's Return to Dreamland Read the review,1.79m,
25,New Play Control! Mario Power Tennis,1.79m,
26,LEGO Star Wars III: The Clone Wars,,1.79m
27,High School Musical: Sing It!,,1.76m
28,Game Party 3,,1.72m
29,The Beatles: Rock Band Read the review,,1.71m
30,Cabela's Big Game Hunter 2010,,1.70m
31,Disney Infinity,,1.66m
32,Shaun White Snowboarding: Road Trip Read the review,,1.66m
33,Star Wars The Clone Wars: Lightsaber Duels,,1.65m
34,MySims,,1.65m
35,Wii Play: Motion Read the review,1.64m,
36,Sonic Unleashed,1.60m,
37,Dance Dance Revolution: Hottest Party 2,,1.58m
38,LEGO Pirates of the Caribbean: The Video Game,,1.57m
39,Carnival Games: Mini Golf,,1.56m
40,Guitar Hero 5,,1.55m
41,Go Vacation,,1.54m
42,MySims Kingdom,,1.52m
