,Names,Total_shipped,Total_sales
0,Mario Kart 8 Read the review,8.46m,
1,Super Mario 3D World Read the review,5.89m,
2,New Super Mario Bros. U Read the review,5.82m,
3,Super Smash Bros. for Wii U,5.38m,
4,Nintendo Land Read the review,5.21m,
5,Splatoon Read the review,4.95m,
6,Super Mario Maker,4.02m,
7,New Super Luigi U Read the review,3.07m,
8,The Legend of Zelda: The Wind Waker Read the review,2.37m,
9,Mario Party 10,2.27m,
10,Donkey Kong Country: Tropical Freeze Read the review,2.02m,
11,Wii Party U Read the review,1.79m,
12,The Legend of Zelda: Breath of the Wild,1.70m,
13,Yoshi's Woolly World,1.57m,
14,Minecraft,,1.47m
15,Captain Toad: Treasure Tracker,1.37m,
16,Pikmin 3 Read the review,1.27m,
17,The Legend of Zelda: Twilight Princess HD,1.16m,
18,LEGO City Undercover Read the review,1.15m,
19,Hyrule Warriors,1.00m,
20,Pokken Tournament,1.00m,
21,Paper Mario: Color Splash,,0.87m
22,Wii Fit U,,0.86m
23,Xenoblade Chronicles X,,0.84m
24,ZombiU Read the review,,0.84m
25,Mario & Sonic at the Sochi 2014 Olympic Winter Games,,0.80m
26,Lego Marvel Super Heroes,,0.76m
27,Skylanders: Trap Team,,0.75m
28,Just Dance 2015,,0.75m
29,Monster Hunter 3 Ultimate,,0.71m
30,Disney Infinity 2.0: Marvel Super Heroes,,0.70m
31,Rayman Legends Read the review,,0.68m
32,Disney Infinity,,0.67m
33,The LEGO Movie Videogame,,0.66m
34,LEGO Dimensions,,0.65m
35,Just Dance 2014,,0.64m
36,Skylanders SWAP Force,,0.61m
37,Just Dance 2016,,0.60m
38,Skylanders: SuperChargers,,0.59m
39,Kirby and the Rainbow Curse,,0.58m
40,LEGO Jurassic World Read the review,,0.57m
41,Disney Infinity 3.0,,0.55m
42,Mario Tennis Ultra Smash,,0.54m
43,Sonic & Sega All-Stars Racing Transformed Read the review,,0.53m
44,FIFA 13,,0.49m
45,Animal Crossing: Amiibo Festival,,0.49m
46,Mario & Sonic at the Rio 2016 Olympic Games,,0.49m
47,Lego Batman 3: Beyond Gotham,,0.45m
48,Skylanders Imaginators,,0.45m
49,Star Fox: Zero,,0.44m
0,Just Dance 2017,,0.43m
1,Dragon Quest X,,0.42m
2,Call of Duty: Black Ops II Read the review,,0.42m
3,Skylanders Giants,,0.39m
4,Wii Sports Club,,0.38m
5,Just Dance 4,,0.38m
