,Names,Total_shipped,Total_sales
0,Super Mario Run,4.00m,
1,Goat Simulator,1.00m,
2,Ridiculous Fishing Read the review,0.30m,
3,Jules Verne's Return To Mysterious Island,0.10m,
4,Her Story,0.04m,
5,Mirror's Edge (mobile),0.04m,
6,2XL MX Offroad Read the review,,
7,Anodyne,,
8,Back to Bed Read the review,,
9,Beat Sneak Bandit Read the review,,
10,Cafeteria Nipponica,,
11,Cardboard Castle Read the review,,
12,Castle of Illusion Starring Mickey Mouse (2013),,
13,"Cook, Serve, Delicious!",,
14,CounterSpy,,
15,Don't Fry the Frog Read the review,,
16,Draw Something Read the review,,
17,Fallout Shelter Read the review,,
18,Fat Princess: Piece of Cake,,
19,Final Fantasy I,,
20,Final Fantasy IX,,
21,Final Fantasy VII,,
22,Football Manager Handheld 2014,,
23,Fruit Ninja,,
24,Geomon Read the review,,
25,Great Big War Game Read the review,,
26,Horn Read the review,,
27,Hysteria Project 2 Read the review,,
28,Jetpack Joyride,,
29,Kingdom Rush Read the review,,
30,Little Acorns Read the review,,
31,Minecraft,,
32,Monument Valley,,
33,Oceanhorn 2: Knights of the Lost Realm,,
34,Oceanhorn: Monster of Uncharted Seas,,
35,PlayStation All-Stars Island,,
36,Ridge Racer Accelerated,,
37,Ridge Racer Slipstream,,
38,Ridiculous Fishing - A Tale of Redemption,,
39,Run Sackboy! Run!,,
40,Shantae: Risky's Revenge,,
41,Sir Benfro's Brilliant Balloon Read the review,,
42,Slayin Read the review,,
43,Sparkle 2,,
44,Splice,,
45,The Dark Knight Rises Read the review,,
46,Total War Battles: KINGDOM,,
47,UNCHARTED: Fortune Hunter,,
48,Wolfenstein RPG,,
49,Worms 3,,
0,ZiGGURAT Read the review,,
1,Age of Empires: Castle Siege,,
2,Alvastia Chronicles,,
3,Animal Crossing: Pocket Camp,,
4,Arkanoid vs. Space Invaders,,
5,Artifact,,
6,Asdivine Dios,,
7,Asdivine Hearts II,,
8,Bentley's Hackpack,,
9,Bounty Bots Read the review,,
10,Boy Loves Girl Read the review,,
11,Breath of Fire 6,,
12,Bridge Constructor Portal,,
13,Castlevania: Symphony of the Night,,
14,Catasplat Read the review,,
15,Cling! Read the review,,
16,Commander Keen,,
17,Crying Suns,,
18,Death Come True,,
19,Diablo Immortal,,
20,Doom,,
21,Doom 3,,
22,Doom II,,
23,Dota Underlords,,
24,Dragalia Lost,,
25,Dungeon of the Endless,,
26,EcoFish Read the review,,
27,Entwined Challenge,,
28,Exit the Gungeon,,
29,Final Fantasy Crystal Chronicles: Remastered Edition,,
30,Final Fantasy XV Pocket Edition,,
31,Fire Emblem: Heroes,,
32,Follow the Rabbit Read the review,,
33,Football Manager 2020,,
34,Fran Bow,,
35,Furmins,,
36,Genshin Impact,,
37,Grayland,,
38,GRIS,,
39,Hidden Through Time 2: Myths & Magic,,
40,Horizon Chase 2,,
41,Ingress,,
42,Invizimals: Battle of the Hunters,,
43,Invizimals™ Hidden Challenges,,
44,Invizimals™: Revolution,,
45,Invizimals™: TV Tracker,,
46,Jewels with Buddies Read the review,,
47,KNACK's Quest,,
48,Late Shift,,
49,Legends of Runeterra,,
0,LEGO Batman 2: DC Super Heroes,,
1,Life Is Strange,,
2,Lyrica,,
3,Miitomo,,
4,Milkmaid of the Milky Way,,
5,Monster Hunter Riders,,
6,Morningstar: Descent to Deadrock,,
7,Mythgard,,
8,Nelly Cootalot: The Fowl Fleet,,
9,Noble Nutlings Read the review,,
10,One Finger Death Punch,,
11,Pac-Man 256,,
12,Party Wave Read the review,,
13,Planescape Torment: Enhanced Edition,,
14,PlayerUnknown's Battlegrounds Mobile,,
15,PlayStation®Vita Pets: Puppy Parlour,,
16,Pokémon GO,,
17,Pokémon Unite,,
18,Puzzle Knights Read the review,,
19,Raging Loop,,
20,Ratchet and Clank: Before the Nexus,,
21,Romancing SaGa 3,,
22,SaGa: Scarlet Grace,,
23,Saint Seiya: Shining Soldiers,,
24,Say No! More,,
25,Sephirothic Stories,,
26,Shantae and the Seven Sirens,,
27,Shinsekai: Into the Depths,,
28,Sonic At The Olympic Games - Tokyo 2020,,
29,Sparkle 3 Genesis,,
30,Spellet Read the review,,
31,Spidersaurs,,
32,Stardew Valley,,
33,Stranger Things 3: The Game,,
34,Teamfight Tactics,,
35,Telling Lies,,
36,The 7th Guest: Infection,,
37,The Almost Gone,,
38,The Amazing Spider-Man (2012),,
39,The Artful Escape,,
40,The Elder Scrolls: Blades,,
41,The Little Acre,,
42,Thumper,,
43,Tohu,,
44,Tokyo Jungle Mobile,,
45,Ursa Hollows Read the review,,
46,Vampire: The Masquerade – Night Road,,
47,Wawa Land Read the review,,
48,White Night,,
49,WipEout Rush,,
0,Yu-Gi-Oh! Cross Duel,,
