,Titles,Total sales in million
0,Dragon Quest XI,1.82
1,Tomodachi Collection: New Life,1.69
2,Mario & Sonic at the London 2012 Olympic Games Read the review,1.19
3,Dragon Quest VIII: Journey of the Cursed King,1.15
4,LEGO Star Wars III: The Clone Wars,1.14
5,Sonic Generations,1.06
6,Lego Marvel Super Heroes: Universe in Peril,1.05
7,PilotWings Resort Read the review,0.96
8,Harvest Moon 3D: A New Beginning,0.95
9,Resident Evil: Revelations Read the review,0.89
10,Mario Party: Star Rush,0.87
11,LEGO Batman 2: DC Super Heroes,0.86
12,LEGO Jurassic World,0.85
13,Professor Layton vs Ace Attorney,0.82
14,Yokai Watch 3: Sukiyaki,0.81
15,Professor Layton and the Azran Legacy,0.81
16,Dragon Quest Monsters 2,0.79
17,The Sims 3,0.77
18,Fire Emblem Echoes: Shadows of Valentia,0.75
19,The LEGO Movie Videogame,0.72
20,Mario & Sonic at the Rio 2016 Olympic Games,0.7
21,Monster Hunter Stories,0.7
22,Mario Party: The Top 100,0.69
23,Rune Factory 4,0.68
24,Frozen: Olaf's Quest,0.68
25,Angry Birds Trilogy,0.65
26,Dragon Quest Monsters Joker 3,0.65
27,Rayman 3D Read the review,0.64
28,Scribblenauts: Unlimited,0.64
29,LEGO Pirates of the Caribbean: The Video Game,0.63
30,Cooking Mama 4: Kitchen Magic! Read the review,0.63
31,Tousouchuu: Shijou Saikyou no Hunter-Tachi Kara Nigekire!,0.62
32,Final Fantasy Explorers,0.59
33,Skylanders: Spyro's Adventure,0.58
34,Disney Magic World 2,0.58
35,Yokai Sangokushi,0.57
36,Xenoblade Chronicles,0.56
37,Puzzle & Dragons Z + Super Mario Bros. Edition,0.56
38,Metroid: Samus Returns,0.56
39,Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,0.55
40,Inazuma Eleven GO: Dark / Shine,0.55
41,Poochy & Yoshi's Woolly World,0.55
42,Dragon Ball: Fusions,0.54
43,FIFA 15,0.52
44,Lego Batman 3: Beyond Gotham,0.51
45,Mario & Luigi Superstar Saga + Bowser's Minions,0.51
46,Yokai Watch Busters 2: Hihou Densetsu Banbarayaa - Magnum / Sword,0.51
47,Hometown Story,0.5
48,Pokémon Art Academy,0.5
49,Epic Mickey: Power of Illusion,0.5
50,Super Monkey Ball 3D,0.5
51,Steel Diver,0.5
52,Resident Evil: The Mercenaries 3D Read the review,0.49
53,Story of Seasons: Trio of Towns,0.49
54,Mario Golf: World Tour Read the review,0.49
55,Asphalt 3D Read the review,0.49
56,Art Academy: Lessons for Everyone!,0.49
57,Hyrule Warriors Legends,0.49
58,Sonic Lost World,0.48
59,Luigi's Mansion,0.47
60,Detective Pikachu Read the review,0.47
61,Inazuma Eleven Go: Chrono Stone - Wildfire / Thunderflash,0.47
62,Mario Sports Superstars,0.46
63,Attack on Titan: The Last Wings of Mankind,0.45
64,Style Savvy: Styling Star,0.45
65,Shin Megami Tensei: Devil Survivor Overclocked,0.44
66,Hey! Pikmin,0.44
67,Tetris Axis Read the review,0.44
68,Story of Seasons,0.44
69,Fossil Fighters: Frontier,0.42
70,LEGO The Lord of the Rings,0.41
71,Madden NFL Football,0.41
72,LEGO Harry Potter: Years 5-7,0.41
73,Theatrhythm Final Fantasy: Curtain Call,0.41
74,Momotaro Dentetsu 2017: Tachiagare Nippon!!,0.4
75,Combat of Giants: Dinosaurs 3D,0.39
76,FIFA Soccer 12 Read the review,0.39
77,One Piece Unlimited World: Red Read the review,0.39
78,Metal Gear Solid: Snake Eater 3D,0.39
79,Raving Rabbids: Travel in Time 3D,0.38
80,Phoenix Wright: Ace Attorney - Dual Destinies Read the review,0.38
81,Pro Evolution Soccer 2011 3D,0.38
82,Hatsune Miku: Project Mirai DX,0.38
83,Minecraft,0.37
84,Shin Megami Tensei IV: Apocalypse,0.37
85,Sentouchu: Densetsu no Shinobi to Survival Battle!,0.36
86,Harvest Moon: The Tale of Two Towns,0.36
87,Disney Infinity,0.35
88,Dragon Ball Z: Extreme Butoden,0.35
89,Lego Legends of Chima: Laval's Journey,0.34
90,Angry Birds: Star Wars,0.34
91,Tom Clancy's Ghost Recon: Shadow Wars,0.34
92,Skylanders: Trap Team,0.34
93,Dragon Ball Heroes: Ultimate Mission 2,0.34
94,Ultimate NES Remix Read the review,0.33
95,Kirby: Battle Royale,0.33
96,Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,0.33
97,Chibi-Robo! Zip Lash,0.32
98,Puzzle & Dragons X: God Chapter / Dragon Chapter,0.32
99,Bust-A-Move Universe,0.31
100,LEGO Ninjago: Shadow of Ronin,0.31
101,Tom Clancy's Splinter Cell 3D,0.3
102,LEGO Marvel's Avengers,0.3
103,Sonic & Sega All-Stars Racing Transformed,0.3
104,FIFA 13,0.3
105,Phoenix Wright: Ace Attorney: Spirit of Justice,0.29
106,Sonic Boom: Shattered Crystal,0.29
107,The Legend of Legacy,0.29
108,Dragon Ball Heroes: Ultimate Mission,0.29
109,Ever Oasis,0.29
110,Culdcept,0.29
111,WarioWare Gold,0.28
112,Moshi Monsters: Moshlings Theme Park,0.28
113,How to Train Your Dragon 2,0.28
114,Lego Star Wars: The Force Awakens,0.28
115,Etrian Mystery Dungeon,0.28
116,Kobitodzukan: Kobito Kansatsu Set,0.28
117,Rhythm Thief & the Emperor's Treasure,0.28
118,Batman: Arkham Origins Blackgate,0.27
119,Etrian Odyssey V: Beyond the Myth,0.27
120,Brain Age: Concentration Training,0.27
121,Skylanders SWAP Force,0.27
122,The Snack World: TreJarers,0.27
123,Aikatsu! 2-nin no My Princess,0.27
124,Etrian Odyssey: Millennium Girl,0.26
125,Inazuma Eleven GO 3: Galaxy - Big Bang / Supernova,0.26
126,Stella Glow,0.26
127,Mega Man Legacy Collection,0.26
128,FIFA 14,0.26
129,Zoo Resort 3D,0.26
130,Sonic Boom: Fire & Ice,0.25
131,LEGO The Hobbit,0.25
132,Ace Combat: Assault Horizon Legacy,0.25
133,Spirit Camera: The Cursed Memoir Read the review,0.25
134,7th Dragon III Code: VFD,0.24
135,Dragon Ball Heroes: Ultimate Mission X,0.24
136,Wipeout 2,0.23
137,WWE All Stars,0.23
138,Harvest Moon: The Land of Origin,0.23
139,Cars 2,0.23
140,Shinobi Read the review,0.23
141,Hatsune Miku: Project Mirai 2,0.23
142,Pokémon Gold/Pokémon Silver,0.22
143,Code Name: S.T.E.A.M.,0.22
144,Sumikko Gurashi: Mura o Tsukurundesu,0.22
145,Transformers: Dark of the Moon,0.22
146,Return to PopoloCrois: A Story of Seasons Fairytale,0.22
147,WipeOut 3 The Game,0.22
148,Magician's Quest: Town of Magic,0.21
149,Radiant Historia: Perfect Chronology,0.21
150,Frogger 3D,0.21
151,Tekken 3D: Prime Edition Read the review,0.21
152,The Amazing Spider-Man (2012) Read the review,0.21
153,LBX: Little Battlers eXperience,0.21
154,Dragon Quest Monsters: Joker 3 - Professional,0.2
155,Disney Art Academy,0.2
156,Code of Princess Read the review,0.2
157,Skylanders: SuperChargers Racing,0.2
158,Shin Megami Tensei: Strange Journey Redux Read the review,0.2
159,Aikatsu! Cinderella Lesson,0.2
160,Nascar Unleashed,0.19
161,Need for Speed: The Run,0.19
162,Pac-Man & Galaga Dimensions,0.19
163,New Love Plus,0.19
164,Pet Zombies,0.19
165,The Great Ace Attorney - The Adventures of Ryuunosuke Naruhodou,0.19
166,SpongeBob SquigglePants 3D,0.19
167,Kuma-Tomo,0.19
168,Project X Zone 2,0.19
169,Captain Toad: Treasure Tracker,0.19
170,Transformers: Prime Read the review,0.19
171,Reel Fishing Paradise 3D,0.19
172,Pro Evolution Soccer 2014,0.19
173,Daigasso! Band Brothers P,0.19
174,Hatsune Miku and Future Stars: Project Mirai,0.18
175,Big Hero 6: Battle in the Bay,0.18
176,Super Robot Wars UX,0.18
177,Senran Kagura 2: Deep Crimson,0.18
